交互检查规则,,,,
导出规则,,,,
分类,基础信息,,,
表头,编号,武将id,武将名称,简介内容
关键字标识,Y,,,
唯一标识,Y,,,
非空标识,Y,,,
检查规则,,,,
变量名称,id,servantid,servantname,information
变量类型,I,I,S,S
变量空间,cs,cs,c,c
,,,,
BEGIN,武将介绍表,servantid_information_data,,
,10000,40000,姬长生,昆仑之主，￥武功超凡入圣。
,10001,40001,长雍君,天鹤山上最为神秘之人，￥听闻其料事如神，￥能观星象变幻，￥预知未来。
,10002,40002,闻仲,敬请期待
,10003,40003,李耳,敬请期待
,10004,40004,李青莲,十步杀一人，千里不留行。￥青莲剑起，歌起长平。
,10005,40005,卡萨,江湖上四大刺客之一。￥行事诡异，神秘莫测。
,10006,40006,姬重华,折梅山庄庄主重华。￥嚣张霸道，性烈如火，￥平生最烦有人称道其容貌，￥却因美貌著称于金陵之中。
,10007,40007,安倍晴明,敬请期待
,10008,40008,承影,南府暗卫之首，￥武功高绝，性格冷淡，沉默寡言。￥传闻江湖中曾有一位令人闻风丧胆也名唤‘承影’，￥不知二者之间有何关联……
,10009,40009,霍曼曼,名门霍家之女，￥高贵典雅，优雅大方。￥七弦琴起，高山流水，不过如是。
,10010,40010,公子尘来,天鹤山二公子，公子尘来。￥性格沉稳果决，隐隐有问鼎下届武林之势。
,10011,40011,南歌,敬请期待
,10012,40012,窦夫人,曾经名满金陵的才女，￥性格温和又具有才气。￥善棋，曾布下珍珑棋局
,10013,40013,胡不归,名门胡家之旁系女，￥温柔小意，妩媚多情。￥一曲箜篌，天下无双。
,10014,40014,武照,江湖上有名的散客，无门无派，￥不知从何处来，也不知从何处去，￥可谓是江湖上最神秘之人之一。
,10015,40015,穆云梳,江湖名门之女，￥十五年前以美貌名动金陵。￥善画技，传其牡丹图可引百蝶环绕。
,10016,40016,逍遥,江湖上有名的剑客，￥无门无派，剑术极为高超。￥喜好饮酒，经常出没在有好酒的地方。
,10017,40017,玄机散人,名满金陵的才女，￥性格淡薄，厌恶世人愚昧，￥故而出家为女冠。￥于文采一道上颇有成就。
,10018,40018,合德,敬请期待
,10019,40019,飞燕,敬请期待
,10020,40020,洗砚,书童洗砚。￥聪明伶俐，￥于书画一道上颇有天赋。
,10021,40021,青湖,南府大小姐的贴身婢女。￥聪明伶俐，天真可爱。￥只是似乎有一种神秘力量，￥她说的不好的话都会成真……
,10022,40022,艳客,敬请期待
,10023,40023,离原,江苏最大的丝商，￥行止有度，翩翩君子。
,10024,40024,姬燕来,昆仑少主，￥从未出现在江湖之上，￥江湖上却有他的传说。
,10025,40025,药王,天下第一杏林圣手。￥杏林一道，无人可及。
,10026,40026,杜浪,江湖上默默无名的剑客。￥似是来自一个神秘的组织。￥经常出现在出人意料的地方。￥不过这种平平无奇的人出现在哪里也不奇怪吧。
,10027,40027,柳如是,敬请期待
,10028,40028,张碧君,金陵中颇有才名之人，￥关于他的传闻猜测从未停止。￥只是他本人似乎并不在意。
,10029,40029,燕小青,敬请期待
,10030,40030,要离,敬请期待
,10031,40031,荆轲,敬请期待
,10032,40032,南鹤,敬请期待
,10033,40033,狄青剑,敬请期待
,10034,40034,公孙大娘,敬请期待
,10035,40035,张江陵,敬请期待
,10036,40036,杜少陵,金陵中颇有才名之人，￥只是不知为何弃官入川，￥令人惋惜。
,20000,40018,柳氏,南府主母，￥南鹤之妻。
,20001,40024,雁北归,雪夜所救的神秘男子。
,20002,40001,华服男子,出现在雪夜之中的神秘男子
,20003,40010,玄衣男子,出现在雪夜之中的玄衣男子。
,20004,40028,王管事,南府管家，￥忠心可靠。
,20005,40024,濒死之人,雪夜所救的神秘男子。
,20006,40024,颜北归,雪夜所救的神秘男子。
,20007,40029,无名杀手,出现在来去寺的神秘杀手，￥不知道是何人所派。
,20008,40005,诡异马夫,这马夫的眼神令人背后一寒。
,20009,40014,北斗,观星台侍卫长，￥武功高深莫测，￥诸星之首，￥谓之‘北斗’。
